,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
847,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,516642000000000.0,1.16164,1.25312,12.8767,0.0,0.849487,,0.0,0.0,0.0,0.0,0.0,0.167368,0.167368,0.167368,,0.302374,1.0,0.849487,,4.10892,0.0,0.0,0.849487
848,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,515642000000000.0,1.15318,1.24324,12.868,0.0,0.847245,,0.0,0.0,0.0,0.0,0.0,0.16597,0.16597,0.16597,,0.302505,1.0,0.847245,,4.08358,0.0,0.0,0.847245
849,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,514642000000000.0,1.14472,1.23338,12.8593,0.0,0.844986,,0.0,0.0,0.0,0.0,0.0,0.164577,0.164577,0.164577,,0.302635,1.0,0.844986,,4.05835,0.0,0.0,0.844986
850,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,513642000000000.0,1.13629,1.22355,12.8507,0.0,0.842713,,0.0,0.0,0.0,0.0,0.0,0.163189,0.163189,0.163189,,0.302766,1.0,0.842713,,4.03324,0.0,0.0,0.842713
851,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,512642000000000.0,1.12787,1.21376,12.8422,0.0,0.840425,,0.0,0.0,0.0,0.0,0.0,0.161806,0.161806,0.161806,,0.302898,1.0,0.840425,,4.00825,0.0,0.0,0.840425
852,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,511642000000000.0,1.1195,1.20402,12.8337,0.0,0.838133,,0.0,0.0,0.0,0.0,0.0,0.160434,0.160434,0.160434,,0.303028,1.0,0.838133,,3.98345,0.0,0.0,0.838133
853,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,510642000000000.0,1.11112,1.19429,12.8251,0.0,0.835824,,0.0,0.0,0.0,0.0,0.0,0.159064,0.159064,0.159064,,0.303158,1.0,0.835824,,3.95873,0.0,0.0,0.835824
854,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,509642000000000.0,1.10277,1.1846,12.8168,0.0,0.833489,,0.0,0.0,0.0,0.0,0.0,0.157699,0.157699,0.157699,,0.303292,1.0,0.833489,,3.93413,0.0,0.0,0.833489
855,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,508642000000000.0,1.09439,1.17489,12.8085,0.0,0.831131,,0.0,0.0,0.0,0.0,0.0,0.156333,0.156333,0.156333,,0.303426,1.0,0.831131,,3.90955,0.0,0.0,0.831131
856,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,507642000000000.0,1.08601,1.16518,12.8003,0.0,0.828738,,0.0,0.0,0.0,0.0,0.0,0.154967,0.154967,0.154967,,0.303565,1.0,0.828738,,3.88502,0.0,0.0,0.828738
857,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,506642000000000.0,1.07764,1.15548,12.7922,0.0,0.826319,,0.0,0.0,0.0,0.0,0.0,0.153603,0.153603,0.153603,,0.303706,1.0,0.826319,,3.86056,0.0,0.0,0.826319
858,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,505642000000000.0,1.06923,1.14573,12.7842,0.0,0.823853,,0.0,0.0,0.0,0.0,0.0,0.152234,0.152234,0.152234,,0.303853,1.0,0.823853,,3.83608,0.0,0.0,0.823853
859,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,504642000000000.0,1.06083,1.13601,12.7764,0.0,0.821364,,0.0,0.0,0.0,0.0,0.0,0.150868,0.150868,0.150868,,0.304002,1.0,0.821364,,3.8117,0.0,0.0,0.821364
